2,Safety-First Parents,S+C,trigger_response,snow_range,Stały zasięg zimą,Obawa o dojazd do dziadków,"Mróz skróci zasięg i utkniemy.","Ładowarki w Bieszczadach?",range_anxiety;cold_weather,"Prognoza  -10 °C? Sprawdźmy realny zasięg RWD.","Przy -10 °C Model Y RWD realnie 380 km (test AutoBild).","Pre-conditioning z aplikacji poprawia zakres o 12 %.","Supercharger Rzeszów: 250 kW, 10-80% w 27 min.",test_Autobild_Winter,"380 km zimą","pompa ciepła, preheat","Jak często pokonują trasę >300 km?",Mapa SC PL PDF,concerned,mid,raise,1,"Zaplanujmy trasę w aplikacji i dodajmy punkty ładowania na mapie rodziny.",PL,NA,AutoBild_2025
2,Safety-First Parents,S+C,follow_up,foteliki,Komfort dzieci,Brak miejsca na foteliki Isofix,"Czy trzy foteliki się zmieszczą?","Bagażnik pomieści wózek?",space_doubt;family_safety,"Przesyłam wideo z montażem 3×Isofix w Modelu Y.","Kanapa ma 138 cm; ISOFIX na skrajach i top tether środek.","Przestrzeń bagażnika 854 l + frunk 117 l.","Wózek 2-częściowy + walizki wchodzą bez składania siedzeń.",video_Isofix_test,"0 zł za dodatkowe klipy fotelikowe","kanapa szeroka, frunk","Czy chcą Państwo sprawdzić własny fotelik na pokazie?",Umówienie wizyty z fotelikiem,status-seeking,late,raise,1,"Gdy zobaczą Państwo, jak łatwo wchodzi wózek, decyzja będzie naturalna.",PL,NA,Dealer_Pomiar
2,Safety-First Parents,S+C,closing,safe_choice,Domknąć proces,Boją się błędu inwestycyjnego,"A jeśli konkurencja pokaże bezpieczniejszy model?","Możemy poczekać rok.",decision_delay;safety_rank,"Tesla od 3 lat nr 1 w Euro NCAP.","5* wynik 97% ochrona dorosłych.","Aktualizacje poprawiają ADAS bez wizyty w serwisie.","Gwarancja 8 lat na baterię i napęd – spokój na dekadę.",EuroNCAP_top,"0 koszt aktualizacji ADAS","5* NCAP, OTA Safety","Czy podpisujemy zamówienie dziś z opcją bezpłatnej rezygnacji 7 dni?","Mail potwierdzający gwarancje",secure,late,raise,2,"Zatwierdźmy zamówienie – to najbezpieczniejsza decyzja na lata.",PL,NA,NCAP_Rank_2025
3,Budget-Conscious Family,S,opening,price_focus,Zmniejszyć miesięczne raty,Nie stać ich na EV,"Cena startowa Tesli jest poza budżetem.","Serwis EV drogi?",price_concern;budget_dotacje,"Wie Pan(i), że po dotacji Model 3 RWD kosztuje 154 990 zł?",NA,NA,NA,gov_price_example,"-40 tys. zł dotacji","Model 3 RWD, kalkulator leasingu","Jaką ratę akceptują Państwo maksymalnie?","Kalkulator leasing G12W",frugal,early,raise,2,"Sprawdźmy wspólnie ratę – może miło zaskoczyć.",PL,NA,Elektryki_Cenowo_2025
3,Budget-Conscious Family,S,feature_argument,leasing_curve,Niskie koszty posiadania,Wysoka rata miesięczna,"Czy rata nie przekroczy 1000 zł?","Ukryte opłaty w leasingu?",financing_fear;hidden_fees,"Wspólnie przejdźmy przez symulator BOS.","Leasing 50/50 rata 987 zł przy 20% wpłacie.","Brak opłaty za przeglądy – oszczędność 1200 zł/rok.","G12W ładowanie nocne 0,49 zł/kWh – 100 km za 23 zł.",leasing_calc_demo,"987 zł rata","Model 3 RWD, OTA","Czy planują Państwo wykup czy zwrot pojazdu?","PDF Porównanie rat vs spalina",optimistic,mid,raise,2,"Ta rata mieści się w Państwa założeniach – podpiszmy wniosek online.",PL,NA,BOS_Sym_2025
3,Budget-Conscious Family,S,objection_handling,insurance,Obniżyć koszty ubezpieczenia,Strach przed drogim AC,"EV ubezpieczenie jest drogie.","Brak zniżek OC.",insurance_worry;budget_concern,"Sprawdźmy realną wycenę.","OC+AC Model 3 od 1800 zł/rok wg rankomat.","Niższa moc podatkowa = niższa akcyza 0 zł.","Brak filtra DPF = brak opłat emisji strefowych.",rankomat_quote,"1800 zł/rok OC+AC","Tesla Insurance PL coming soon","Czy mają Państwo zniżki 60% OC?","Zestawienie ofert PDF",skeptical,mid,neutral,1,"Ubezpieczenie nie podniesie raty ponad założony pułap.",PL,NA,Rankomat_2025
3,Budget-Conscious Family,S,trigger_response,fuel_savings,Oszczędność na paliwie,Brak natychmiastowej ulgi w budżecie,"Prąd też drożeje.","Kiedy realnie zacznę oszczędzać?",fuel_vs_energy;inflation,"Przeanalizujmy rachunki.","Benzyna 7 l/100 km → 48 PLN; prąd 18 PLN/100 km.","Przy 1500 km/mies. oszczędzasz 450 PLN.","Break-even raty vs paliwo w 34 mies.",fuel_calc_table,"450 PLN/mies.","eco-drive, regen ham","Ile km robicie Państwo tygodniowo?","TCO Excel gotowy",analytical,mid,raise,1,"Każdy kilometr na prądzie zostawia więcej w portfelu – zacznijmy liczyć od dziś.",PL,NA,Colina_Koszty
3,Budget-Conscious Family,S,follow_up,second_hand,Odporność na spadek wartości,Boją się straty przy odsprzedaży,"EV traci wartość szybciej?","Bateria odstraszy kupujących.",resale_value;depreciation,"Przesyłam raport Otomoto.","Model 3 3-letni utrata 32% vs 45% w klasie.","Aktualizacje OTA podnoszą wartość rynkową.","Gwarancja 8 lat transferowalna na kolejnego właściciela.",otomoto_2024,"-13 pp mniejsza utrata","OTA, gwarancja 8 lat","Która marka zachowała więcej wg raportu?",Link raport PDF,hopeful,late,raise,1,"Mniejsza utrata wartości to realny zysk przy wymianie auta.",PL,NA,Otomoto_Raport
3,Budget-Conscious Family,S,closing,budget_ok,Zamknięcie transakcji,Obawa przed zobowiązaniem,"Muszę sprawdzić kredyt.","Może ceny spadną jesienią.",credit_check;price_wait,"Oferta leasingu 0% prowizji wygasa w piątek.","Zamówienie online blokuje cenę na 30 dni.","Rezygnacja darmowa do odbioru.","Każdy miesiąc zwłoki kosztuje 450 PLN na stacji." ,promo_zero_prov,"-0 % prowizji do pt.","Rata 987 zł, brak przeglądów","Czy blokujemy cenę dzisiaj?",Mail z linkiem do zamówienia,frugal,late,raise,2,"Zablokujmy cenę teraz; decyzję kredytową mogą Państwo zmienić w każdej chwili.",PL,NA,Promocja_BOS
4,Tech Executive,D+C,opening,innovation,Być liderem innowacji w branży,Obawia się wizerunku gadżeciarza,"Czy Tesla to zabawka czy narzędzie?", "Czy firma pozwoli na EV?",status_seek;tech_curiosity,"Czy chciałby Pan mieć auto, które aktualizuje się szybciej niż smartfon?",NA,NA,NA,ceo_quote_linkedin,"OTA co 14 dni","FSD Beta, API Fleet","Jakie KPI wydajności są dla Pana kluczowe?",Whitepaper API,curious,early,raise,2,"Pokażmy, jak ta technologia pracuje dla Pana – nie odwrotnie.",PL,NA,LinkedIn_TechLeaders
4,Tech Executive,D+C,feature_argument,api_integration,Integracja z ekosystemem IT,Brak kontroli nad danymi,"Czy mogę pobierać dane surowe?","Co z prywatnością floty?",data_privacy;api_limits,"Tesla API udostępnia telemetrię w JSON.","Webhook 1 s delay do PowerBI.","ISO 27001 compliance na serwerach.","VPN opcja Enterprise.",api_doc_link,"0 zł API","API, Sentry, over-the-air","Które metryki mają trafić do dashboardu?",PDF API endpoints,excited,mid,raise,2,"Podłączmy demo – dane pojawią się w Pana tablicy w 5 min.",PL,NA,API_Docs_Tesla
4,Tech Executive,D+C,objection_handling,exec_time,Optymalizacja czasu CEO,Brak czasu na ładowanie,"Ładowanie to strata czasu.","Superchargery bywają zajęte.",time_cost;infra,"Planer trasy omija kolejki.","Ładujesz podczas lunchu – 25 min.","Peak-shaving: auto sugeruje sloty wolne.","10 kWh darmowej energii miesięcznie z referral.",case_cx_CEO,"25 min przerwy = 275 km","Supercharger V4, Scheduler","Czy dłuższe przerwy łączysz z callami?",PDF Time Audit,efficient,mid,neutral,1,"Ładowanie staje się przerwą na KPI, nie kosztem harmonogramu.",PL,NA,Planer_Trasy_Tesla
4,Tech Executive,D+C,trigger_response,fsd_upgrade,Pełne wykorzystanie FSD,Ostracyzm mediów,"FSD to beta i ryzyko PR.","Czy to legalne w PL?",fsd_controversy;legal,"FSD używany jako asystent, nie autopilot.","Poziom 2+ zgodny z EU, homologacja.","100 k km danych dziennie – sieć uczy się szybciej niż fleet OEM.","Upgrade OTA bez wizyty w serwisie.",fsd_stats,"+10 % wydajności floty","FSD, Navigate on AP","Czy test 24 h FSD byłby pomocny?","Link aktywacyjny Trial",ambitious,mid,raise,1,"Zróbmy 24 h test FSD – dane KPI zdecydują za nas.",PL,NA,FSD_EU_Reg
4,Tech Executive,D+C,follow_up,prestige,Employer Branding,Obawa o reakcję pracowników,"Czy nie wyjdę na fana Muska?","Konkurencja krytykuje Teslę.",brand_perception;internal_PR,"Przesyłam case PwC Polska.","EV w car-policy podniosło NPS pracowniczy o 14 pp.","Tesla lounge w biurze – 3 h demo tygodniowo.","Posty na LinkedIn +40 % zasięgu HR.",pwc_case_EV,"+14 pp NPS","Design minimal, OTA","Czy HR dział wspiera program EV?",Deck EB_EV,proud,late,raise,1,"Wizerunek lidera innowacji przyciąga talenty – podpiszmy dziś.",PL,NA,PwC_Case_2025
4,Tech Executive,D+C,closing,exec_decision,Szybkie domknięcie,Strata okazji cenowej,"Giełda Tesli zmienia ceny dynamicznie.","Czas dostawy może się wydłużyć.",opportunity_cost;lead_time,"Cena lock-in 72 h.","Dostawa Q3 zapewnia maks deduction IFRS.","Pre-order wymaga 1000 zł – zwrotne.","Priority VIN allocation dla floty >3 szt.",fleet_priority,"72 h gwarancja ceny","Long Range AWD, FSD","Czy blokujemy VIN teraz?",DocuSign link,decisive,late,raise,2,"Zapalmy zielone światło – systemy i finanse ruszą natychmiast.",PL,NA,Flota_IFRS
5,Early Adopter,I+D,opening,hype,Cieszyć się nowością,Nuda obecnego auta,"Czy Highland jest dostępny od ręki?","Czy mogę pierwszy w mieście?",early_access;novelty,"Czy chciałbyś odebrać Model 3 Highland jeszcze przed weekendem?",NA,NA,NA,first_owner_photo,"Odbiór 48 h","Highland facelift, RGB ambient","Wolisz biały czy nową szarość Stealth?",Link do konfiguratora,excited,early,raise,2,"Zarezerwujmy VIN, byś był pierwszy na Instagramie.",PL,NA,Highland_Launch
5,Early Adopter,I+D,feature_argument,party_tricks,Unikalne funkcje,Brak efektu wow,"Czy coś mnie jeszcze zaskoczy?","Konkurencja ma HUD.",wow_factor;gadget,"Sprawdźmy tryb LightShow i Steam w kabinie.","16-głośnikowy Dolby Atmos pokładowy.","Steam Deck gra w Cyberpunk na postoju.","OTA co miesiąc nowe funkcje EasterEgg.",youtuber_review,"0 zł za aktualizacje","Atmos audio, LightShow","Który gadżet pokazujemy na stories?",Video demo,thrilled,mid,raise,2,"To więcej niż auto – to platforma do zabawy i update’ów.",PL,NA,Influencer_Test
5,Early Adopter,I+D,objection_handling,ota_bugs,OBAWA O BUGI,Strach przed niedopracowanym software,"Aktualizacje psują funkcje.","Nie mam czasu na restarty.",bug_fear;stability,"Roll-back 1-klik w aplikacji.","90% update’ów nocą – auto śpi.","Community Beta channel dobrowolny.","Stat uptime 99,98% 2024.",release_note_stats,"99,98% uptime","OTA, dual partition MCU","Czy chcesz kanał stable czy beta?",FAQ link,curious,mid,neutral,1,"Masz kontrolę – aktualizujesz, kiedy chcesz.",PL,NA,Release_Stats
5,Early Adopter,I+D,trigger_response,referral,Chęć polecania znajomym,Strach że link straci ważność,"Kiedy ruszy nowy program?","Czy bonus jest wysoki?",referral_bonus;social_share,"Nowe referral rusza 1 sierpnia.","3 mies. Supercharger gratis + 1500 zł rabatu.","Link aktywny 6 mies.","Ranking userów w aplikacji.",referral_program_2025,"3 msc SC gratis","Referral, app ranking","Wyślesz link 3 znajomym od razu?",Push-notification tutorial,social,mid,raise,1,"Im szybciej wyślesz link, tym szybciej ładujesz gratis.",PL,NA,Referral_Tesla
5,Early Adopter,I+D,follow_up,content_drop,Stały dopływ nowości,Obawa że hype minie,"Co dalej po zakupie?","Czy będą nowe tryby?",content_update;future,"Newsletter Insider daje preview funkcji.","Roadmap Q4: Vision Park2, Track Mode OTA.","Beta testers Live chat.","YouTube vlog co miesiąc.",insider_newsletter,"0 zł subskrypcja","Vision Park2, Track Mode","Chcesz dostęp do Slack community?",Link Slack,enthused,late,raise,1,"Dołącz i współtwórz przyszłe funkcje – zaczynamy dziś.",PL,NA,Insider_Program
5,Early Adopter,I+D,closing,fast_checkout,Szybka finalizacja,Niechęć do papierów,"Nie mam czasu na formalności.","Kiedy odbiór?",paperless;speed,"Check-out online 5 min.","E-podpis, Apple Pay depozyt.","Odbiór express w Katowicach Drive-Thru.","Plakietka „First Highland Owner” gratis.",express_pickup,"5 min umowa","Drive-Thru delivery","Klikamy „Kup Teraz”?",ApplePay link,impulsive,late,raise,2,"Trzy kliknięcia i Highland jest Twój – gotowy w piątek.",PL,NA,Express_Delivery
6,Data-Driven Professional,C,opening,data_facts,Potrzeba liczb,Brak twardych danych,"Pokaż mi tabelę, nie slogany.","Zasięg WLTP to marketing.",need_stats;skeptic,"Czy mogę pokazać realne logi zużycia z flot w Polsce?",NA,NA,NA,telemetry_csv,"CSV log 20 tys. km","real-world kWh/100 km","Jaką średnią prędkość uznaje Pan za referencyjną?",Send CSV,analytical,early,raise,2,"Z danych trudno dyskutować – zobaczmy je wspólnie.",PL,NA,Flota_Dane2024
6,Data-Driven Professional,C,feature_argument,efficiency,Fakty o sprawności,Zawyżone dane fabryczne,"Czy 14 kWh/100 km jest realne?","Jak wpływa temp. 130 km/h?",efficiency;range,"Logi floty pokazują 16,2 kWh/100 km przy 120 km/h.","Pompa ciepła redukuje zużycie o 8 %.","Cx 0,219 najniższe w segmencie.","Ekstrapolacja: 420 km real przy 90 %->10 %.",fleet_log_chart,"16,2 kWh/100 km","pompa ciepła, aero wheels","Jakie tempo autostrady Pan zakłada?",Excel graf,curious,mid,raise,2,"Parametry Pan zna – przeliczmy czy odpowiadają potrzebom.",PL,NA,Flota_Log
6,Data-Driven Professional,C,objection_handling,charging_stats,Zajęte ładowarki,Strata czasu w trasie,"Średnia kolejka to 40 min.","Dane CarScanner pokazują korki.",queue_fear;infra,"API SC pokazuje occupancy live.","Średnia kolejka w PL 4 min (Q1 2025).","12 nowych V4 SC w budowie.","Dynamic pricing zniechęca do peak hours.",SC_API_data,"4 min średnia","Supercharger V4, live map","Czy podróżuje Pan głównie w weekendy?",PDF occupancy,neutral,mid,neutral,1,"Statystyki potwierdzają: oczekiwanie krótsze niż toaleta i kawa.",PL,NA,SC_API
6,Data-Driven Professional,C,trigger_response,excel_tco,Pełny model TCO,Nie lubi niespodzianek,"Pokaż mi CAPEX+OPEX 5 lat.","Zerowa wartość rezydualna?",tco_request;resale,"Udostępniam arkusz TCO z makrami.","Parametry edytowalne: cena energii, przebieg.","Resale 68 % po 3 latach (Otomoto).","Monte Carlo 1000 scenariuszy.",tco_model_xls,"ROI 3,1 roku","regen ham, brak oleju","Czy mam dorzucić scenariusz 10 % inflacji?",Send XLS,focused,mid,raise,1,"Model mówi sam za siebie – proszę o Pana parametry wejściowe.",PL,NA,TCO_Model
6,Data-Driven Professional,C,follow_up,whitepaper,Potwierdzenie źródeł,Brak peer-review,"Marketingowe PDF-y mnie nie przekonują.","Potrzebuję referencji IEEE.",source_credibility;peer_review,"Whitepaper Politechniki Wrocławskiej w załączniku.","Analiza LCA vs ICE – 50 % mniej CO2.","Metodologia ISO 14040.","Link DOI do artykułu.",pw_whitepaper,"-50 % CO2 life-cycle","HeatPump, OTA","Czy akceptuje Pan źródła akademickie?",DOI link,convinced,late,raise,1,"Jeśli metodyka odpowiada, czas przejść do zamówienia.",PL,NA,PW_LCA_2024
6,Data-Driven Professional,C,closing,sign_off,Decyzja na faktach,Brak emocji w zakupie,"Jeszcze sprawdzę jeden raport.","Wyślę Panu feedback.",analysis_paralysis;delay,"Oferta ważna 14 dni.","Zarezerwuję VIN; anulacja 0 zł.","Przez ten czas może Pan badać dalej.","Po 14 dniach cena rośnie o 5 tys.",price_increase_note,"+5 tys po 14 d.","Model 3 LR RWD","Zarezerwuję VIN teraz?",DocuSign,logical,late,raise,2,"Podeprzyjmy decyzję rezerwacją – dane Pan już ma.",PL,NA,Sales_Policy
7,Luxury Traditionalist,D+S,opening,premium_touch,Wysoki komfort,Nie ufa minimalizmowi,"Gdzie są przyciski?","Materiały wnętrza plastikowe?",luxury_need;design_doubt,"Jak ważna jest dla Pana skóra Nappa z wentylacją w standardzie?",NA,NA,NA,photo_interior,"wentylowane fotele","Premium Interior, yoke-less","Czy preferuje Pan drewno czy karbon?",Sample box,selective,early,raise,2,"Dotknijmy materiałów – one mówią więcej niż broszura.",PL,NA,Interior_Kit
7,Luxury Traditionalist,D+S,feature_argument,comfort,Komfort i cisza,Hałas opon,"Czy EV jest głośne na A4?","Brak pneumatyki?",noise_fear;ride_quality,"Model S Plaid 61 dB przy 120 km/h.","Aktywne tłumiki dźwięku.","Zawieszenie adaptacyjne reaguje 500×/s.","HEPA filtr z neutralizacją smogu.",autobild_noise,"61 dB cabin","active suspension, HEPA","Jak oceniasz ciszę w obecnym aucie?",Noise test video,calm,mid,raise,2,"Komfort, który czuć po pierwszym kilometrze.",PL,NA,AutoBild_dB
7,Luxury Traditionalist,D+S,objection_handling,brand_status,Obawa o prestiż,Brak herbu na masce,"Tesla to nie Bentley.","Co powiedzą znajomi?",prestige_doubt;status,"Bloomberg ranking EV-Elite 2025 nr 1.","Parking VIP lotnisko -> gniazda Tesla only.","Klub Owners PL, zaproszenia na premiery.","Marki luksusowe zamawiają Tesle jako shuttle.",bloomberg_rank,"VIP parking gratis","Owners Club, Launch events","Czy udział w klubie byłby wartością?",Invite link,status-seeking,mid,neutral,1,"Prestiż to dziś innowacja – Tesla ją definiuje.",PL,NA,Bloomberg_Elite
7,Luxury Traditionalist,D+S,trigger_response,concierge,Dostęp VIP,Brak osobistej obsługi,"Czy ktoś podstawi auto na serwis?","Jak dostanę auto zastępcze?",service_concierge;time,"Usługa Tesla Mobile Service pod domem.","Concierge door-to-door 0 zł do 50 km.","Overnight upgrade detailing gratis.","24/7 hotline Premium.",concierge_offer,"0 zł door-to-door","Mobile Service, Premium Hotline","Czy to spełnia Pana oczekiwania serwisowe?",T&C PDF,valued,mid,raise,1,"Państwa czas jest cenny, serwis przyjedzie do Pana.",PL,NA,Concierge_Policy
7,Luxury Traditionalist,D+S,follow_up,yacht_parking,Styl życia,Chce synergię z innymi dobrami,"Czy na marinie jest ładowarka?","Czy Tesla obsłuży przyczepę jachtową?",lifestyle_sync;trailer,"Mapa Destination Charger w marinach Bałtyku.","Hak 1600 kg na Model X.","Tryb Camp i pobór 1 kW na noc.","Ładujesz z gniazda 16 A w porcie.",marina_map,"Charging w marinie gratis","Tow hitch, CampMode","Jaki jest tonaż przyczepy?",Brochure towing,aspirational,late,raise,1,"Tesla wpisuje się w styl życia premium od miasta po marinę.",PL,NA,DestinationCharger_Map
7,Luxury Traditionalist,D+S,closing,exclusive,Zamknięcie premium,Szuka wyjątkowości,"Czekam na limitowaną edycję.","Jaki kolor będzie rzadki?",exclusivity;custom,"Launch Edition Midnight Cherry limit 200 szt.","Personal Concierge dedykowany.","Plakietka numerowana na desce.","Cena rezerwacyjna ważna 48 h.",limited_offer,"limit 200 szt","Midnight Cherry, numbered badge","Czy rezerwujemy egz. nr 37?",VIP DocuSign,proud,late,raise,2,"Zabezpieczmy nr 37 – unikat na lata.",PL,NA,Launch_Edition
8,Social Influencer,I,opening,viral,Widoczność online,Brak contentu unbox,"Czy Tesla dalej kręci views?","Cybertruck zabiera hype.",content_fomo;views,"Wiesz, że hashtag #ModelY ma 5 mld wyświetleń na TikTok?",NA,NA,NA,tiktok_stats,"5 mld views","LightShow, Caraoke","Który format – vlog czy reels?",TikTok link,excited,early,raise,2,"Dajmy Twoim fanom content jeszcze przed wszystkimi.",PL,NA,TikTok_Data
8,Social Influencer,I,feature_argument,creator_tools,Narzędzia do contentu,Słabe kamery w aucie,"Czy mogę streamować 4K?","Stabilizacja obrazu?",camera_limit;stream,"8 kamer 1080p zapis na SSD.","Tryb Dashcam raw feed do OBS.","LTE Premium 100 GB/mies.","WeDoCars gimbal-mount gratis.",dashcam_specs,"0 zł data 6 msc","Dashcam, LTE Premium","Stream z jazdy próbnej dziś?",OBS tutorial,creative,mid,raise,2,"Twoi widzowie będą pasażerami na żywo.",PL,NA,Dashcam_Spec
8,Social Influencer,I,objection_handling,sponsor,Autentyczność,Boją się krytyki,"Followers powiedzą, że to reklama.","Czy Tesla mnie repostuje?",authenticity;brandfit,"Hashtag #Ad transparent, engagement +12%.","Tesla repostuje top 3% twórców.","Ustalamy linię kreatywną: „Moja decyzja, nie sponsor”.","Stat wars – EV vs ICE showdown.",campaign_case,"+12% eng.","Repost policy, creative freedom","Jak chcesz pokazać szczerość?",Creative brief,authentic,mid,neutral,1,"Autentyczność plus Tesla to wygrany duet – pokażmy to.",PL,NA,Influencer_Case
